"customer_id","cpf","first_name","last_name","state","city","birth_date","income","score","professional_status","email","mobile"
"8B09A099D971","82429073580","KILIANE","ADEILDO","SP","SÃO PAULO","2000-11-27","4600","1000","other","kiliane.adeildo324406@gmail.com","86636324406"
"28960216D313","98449734770","ADIONE","JESINA","PR","SALTO DO LONTRA","2000-04-08","5500","975","clt","adione.jesina115532@gmail.com","97663115532"
"ED968DAB9D34","67457332434","RAINERIO","GUIVALDO","SP","VARGEM GRANDE PAULISTA","2003-06-28","8000","965","self_employed","rainerio.guivaldo711834@gmail.com","46794711834"
"748A4AFF1FCF","69669145538","LIRALDO","ROGELIO","SP","SÃO PAULO","2003-11-07","6000","963","businessman","liraldo.rogelio118852@gmail.com","87724118852"
"6C42D311A2D2","40451336688","ERMI","FATIANA","SP","SÃO PAULO","2000-05-08","14000","963","other","ermi.fatiana941208@gmail.com","69288941208"
"DE33173B52AA","51428664694","LECIARA","JIDEILSON","MG","BELO HORIZONTE","2003-01-01","4900","960","other","leciara.jideilson705560@gmail.com","85876705560"
"1FB52EB2226A","95547628816","ALDEIRA","TOCO","SP","SERRANA","2003-10-30","7000","957","clt","aldeira.toco548334@gmail.com","69970548334"
"DF71DD7DAE32","74879083242","EVAGELINA","DUARTE","SP","GUARULHOS","2000-03-08","4800","956","clt","evagelina.duarte759036@gmail.com","87797759036"
"6726F8A6A282","16866823866","IDOINO","DUARTE","GO","GOIÂNIA","2000-01-01","5500","954","clt","idoino.duarte200434@gmail.com","23513200434"
"0AF6787D35EB","56738232894","LYS","JUVIR","PR","CHOPINZINHO","2001-03-11","12000","949","retired","lys.juvir533864@gmail.com","78426533864"
