"email","income","salários mínimos","acima de 4 salários"
"estevania.marthus204682@gmail.com","5800","4.8333333333333333",True
"sheylla.jeska608366@gmail.com","6000","5.0000000000000000",True
"naclecia.genai578212@gmail.com","6000","5.0000000000000000",True
"harina.duarte626566@gmail.com","6000","5.0000000000000000",True
"edivaldina.lauricio861802@gmail.com","6000","5.0000000000000000",True
"aurete.duarte848990@gmail.com","5900","4.9166666666666667",True
"jenefe.paulemar720760@gmail.com","5700","4.7500000000000000",True
"izanita.genai853732@gmail.com","5800","4.8333333333333333",True
"dalmir.lauricio995880@gmail.com","6000","5.0000000000000000",True
"albanira.lorrene385754@gmail.com","5000","4.1666666666666667",True
"ironice.francilu917800@gmail.com","6000","5.0000000000000000",True
"clezio.lauricio991680@gmail.com","5000","4.1666666666666667",True
"admilda.areci668352@gmail.com","6000","5.0000000000000000",True
"shi.dheison301902@gmail.com","4900","4.0833333333333333",True
"juvenilza.francilu001982@gmail.com","5700","4.7500000000000000",True
"edivalter.francilu795516@gmail.com","5750","4.7916666666666667",True
"auriceia.geliza028080@gmail.com","5900","4.9166666666666667",True
"reika.francielli733864@gmail.com","5000","4.1666666666666667",True
"damares.duarte396376@gmail.com","5500","4.5833333333333333",True
"albetania.evanucia624502@gmail.com","4900","4.0833333333333333",True
"neivam.vam114354@gmail.com","5890","4.9083333333333333",True
"edivaldina.duarte732848@gmail.com","5000","4.1666666666666667",True
"nislane.lauricio434316@gmail.com","5000","4.1666666666666667",True
"adones.lauricio476198@gmail.com","5000","4.1666666666666667",True
"neivam.dhiemeson127514@gmail.com","5700","4.7500000000000000",True
"albetania.francilu272216@gmail.com","5500","4.5833333333333333",True
"neline.anderleia304500@gmail.com","5000","4.1666666666666667",True
"izoleide.patrizia292246@gmail.com","6000","5.0000000000000000",True
"layandra.duarte086914@gmail.com","6000","5.0000000000000000",True
"isailda.liese385952@gmail.com","5000","4.1666666666666667",True
"adonaide.lauricio670274@gmail.com","4800","4.0000000000000000",False
"nislane.adeildo216448@gmail.com","5500","4.5833333333333333",True
"dalmar.duarte292670@gmail.com","5200","4.3333333333333333",True
"suzymara.francilu781070@gmail.com","6000","5.0000000000000000",True
"nilzeli.naciane589006@gmail.com","6000","5.0000000000000000",True
"ironalda.lauricio086666@gmail.com","5200","4.3333333333333333",True
"cleytiane.hanrry715952@gmail.com","5000","4.1666666666666667",True
"jacimary.estevita914012@gmail.com","5200","4.3333333333333333",True
"adonaide.neito747888@gmail.com","5000","4.1666666666666667",True
"taima.argulino867354@gmail.com","5200","4.3333333333333333",True
"albanira.duarte802272@gmail.com","5000","4.1666666666666667",True
"adrielso.francielli833248@gmail.com","6000","5.0000000000000000",True
"nelzo.francilu639390@gmail.com","5800","4.8333333333333333",True
"tairini.lizanea871650@gmail.com","6000","5.0000000000000000",True
"cordiolino.areci215936@gmail.com","4900","4.0833333333333333",True
"adrisom.lauricio934128@gmail.com","4800","4.0000000000000000",False
"niles.luicleide762578@gmail.com","6000","5.0000000000000000",True
"clobson.lauricio069080@gmail.com","4800","4.0000000000000000",False
"simaira.ivna214172@gmail.com","5000","4.1666666666666667",True
"neida.duarte660872@gmail.com","5900","4.9166666666666667",True
"kevenn.deusileni026752@gmail.com","5000","4.1666666666666667",True
"izaiana.estener442358@gmail.com","5500","4.5833333333333333",True
"alanes.ucelia650244@gmail.com","5800","4.8333333333333333",True
"suzelia.eliziana398494@gmail.com","5000","4.1666666666666667",True
"albetania.shenia800092@gmail.com","5100","4.2500000000000000",True
"erna.livingstone477730@gmail.com","5500","4.5833333333333333",True
"adivanete.argulino524416@gmail.com","5000","4.1666666666666667",True
"simonides.edircio893942@gmail.com","5500","4.5833333333333333",True
"neilha.antonira707642@gmail.com","5000","4.1666666666666667",True
"evacir.luisane627056@gmail.com","5000","4.1666666666666667",True
"alanio.deusomar424138@gmail.com","6000","5.0000000000000000",True
"nilsson.lauricio200174@gmail.com","6000","5.0000000000000000",True
"albanira.francilu416188@gmail.com","5890","4.9083333333333333",True
"ernandes.francilu341496@gmail.com","5000","4.1666666666666667",True
"clevandira.duarte381438@gmail.com","5200","4.3333333333333333",True
"alcielia.duarte928358@gmail.com","5800","4.8333333333333333",True
"adejailma.florbela721814@gmail.com","5000","4.1666666666666667",True
"simpliciano.lauricio401886@gmail.com","4880","4.0666666666666667",True
"keysla.flodoaldo741450@gmail.com","5500","4.5833333333333333",True
"izabelina.lauricio990010@gmail.com","5500","4.5833333333333333",True
"dalcino.francilu241064@gmail.com","5000","4.1666666666666667",True
"alairdes.jesina613046@gmail.com","6000","5.0000000000000000",True
"sheylla.valdomiria973970@gmail.com","5700","4.7500000000000000",True
"nilmara.duarte329486@gmail.com","5356","4.4633333333333333",True
"irion.eliziana400864@gmail.com","6000","5.0000000000000000",True
"adirco.luidison474234@gmail.com","6000","5.0000000000000000",True
