"email","city","state"
"cleudine.duarte661670@gmail.com","BELO HORIZONTE","MG"
"adeize.luzildo797118@gmail.com","NAVEGANTES","SC"
"juvenil.dhiovane446542@gmail.com","GARUVA","SC"
"aurete.duarte848990@gmail.com","BELO HORIZONTE","MG"
"reidison.evanucia629692@gmail.com","CÓRREGO DO BOM JESUS","MG"
"dalmir.lauricio995880@gmail.com","BELO HORIZONTE","MG"
"sybelle.jardesom906220@gmail.com","CAMBORIÚ","SC"
"admilda.areci668352@gmail.com","BETIM","MG"
"sinforoza.valterlins166764@gmail.com","LUIZ ALVES","SC"
"neivam.geciliane306366@gmail.com","NITERÓI","RJ"
"kheven.luzamira591896@gmail.com","CURITIBA","PR"
"ivoneto.jerulino436540@gmail.com","FORMIGA","MG"
"estevita.geliza424208@gmail.com","ITUPORANGA","SC"
"shi.dheison301902@gmail.com","SERRA","ES"
"reidison.lidovina196410@gmail.com","SANTA BÁRBARA","MG"
"nadege.ulio335094@gmail.com","BELO HORIZONTE","MG"
"harlete.parmenio549640@gmail.com","LAGES","SC"
"estevita.lauricio232528@gmail.com","FRAIBURGO","SC"
"auriceia.geliza028080@gmail.com","NOVA IGUAÇU","RJ"
"reika.francielli733864@gmail.com","CACHOEIRINHA","RS"
"izon.djara688772@gmail.com","PIRAPORA","MG"
"ivonelia.lauricio155700@gmail.com","PAINS","MG"
"albetania.evanucia624502@gmail.com","ALTO PARANÁ","PR"
"nislane.lauricio434316@gmail.com","VESPASIANO","MG"
"neivam.dhiemeson127514@gmail.com","LONDRINA","PR"
"albetania.francilu272216@gmail.com","MONTES CLAROS","MG"
"ana.lorraine517458@gmail.com","MATINHOS","PR"
"nisael.vaeria235200@gmail.com","IVOTI","RS"
"sheylla.lauricio321180@gmail.com","CAMPO NOVO DO PARECIS","MT"
"cleytiane.hanrry715952@gmail.com","PASSOS","MG"
"kheren.ivna605208@gmail.com","ITATIAIA","RJ"
"adrielso.francielli833248@gmail.com","RIO DE JANEIRO","RJ"
"nelzo.francilu639390@gmail.com","ESMERALDAS","MG"
"jaciva.udney376766@gmail.com","CURITIBA","PR"
"tairini.lizanea871650@gmail.com","ASCURRA","SC"
"islaila.duarte202852@gmail.com","GOIÂNIA","GO"
"soenir.duarte045036@gmail.com","CANOINHAS","SC"
"dalciana.francilu781150@gmail.com","LAGES","SC"
"alailde.valdoli909646@gmail.com","SÃO JOAQUIM","SC"
"neida.duarte660872@gmail.com","BELO HORIZONTE","MG"
"dalfran.duarte450072@gmail.com","LAGES","SC"
"laurena.dhiemeson821230@gmail.com","PONTE ALTA DO NORTE","SC"
"albetania.shenia800092@gmail.com","IBIRACI","MG"
"erna.livingstone477730@gmail.com","VENÂNCIO AIRES","RS"
"estevita.eliziana488576@gmail.com","NOVA IGUAÇU","RJ"
"cleuziane.jandisom059556@gmail.com","BELO HORIZONTE","MG"
"damares.raguel705544@gmail.com","BURITIS","MG"
"evacir.luisane627056@gmail.com","ITAPEMA","SC"
"isailda.gedinalva166794@gmail.com","OURO PRETO","MG"
"ana.duarte015660@gmail.com","SÃO JOSÉ DOS PINHAIS","PR"
"kleide.lorrene985428@gmail.com","BAIXO GUANDU","ES"
"suzene.ueberton619514@gmail.com","BLUMENAU","SC"
